symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,totalReturn,meanHourlyReturn,efficiency168h,return6h,volumeReturnCorrelation,range24h,volumeVolatility,meanVolume,volatility168h,range72h
"CHRUSDT",794,"Sample",49,0,0,0.17134,0.000245,0.011968,0.014845,-0.032559,0.066441,832052.539097,608067.630376,0.008296,0.074526
"KNCUSDT",812,"Sample",50,0,0,0.099904,0.000146,0.01168,0.004386,-0.052297,0.035965,126375.932482,52834.705108,0.008175,0.135678
"SCUSDT",841,"Sample",52,0,0,0.170588,0.000369,0.111531,-0.021311,0.358589,0.040336,127056820.890223,29417544.961022,0.006848,0.091772
"SNXUSDT",849,"Sample",54,0,0,-0.0277,-0.00001,0.123667,0.007786,-0.079733,0.059615,148056.769104,113568.460887,0.007111,0.069582
"VTHOUSDT",858,"Sample",55,0,0,0.197015,0.000265,0.052632,0,-0.012998,0.042821,37757792.554447,20090599.026882,0.009345,0.069136
"MANAUSDT",902,"Sample",57,0,0,0.088146,0.000135,0.04893,-0.006935,-0.01699,0.041096,319911.474984,166363.55914,0.007539,0.105121
"DOTUSDT",954,"OutOfSample",27,0,0,0.108179,0.000162,0.079195,0.002387,-0.181745,0.038882,283897.611976,227741.069583,0.006933,0.073027
"FILUSDT",1105,"OutOfSample",45,0,0,-0.045321,-0.000032,0.125044,0.006192,-0.215167,0.041535,507515.668625,337842.124234,0.006534,0.068069
"ICPUSDT",1424,"OutOfSample",57,0,0,0.154808,0.000223,0.008696,-0.001663,-0.099576,0.040791,104100.652891,82984.960108,0.006774,0.092321
"MINAUSDT",1563,"OutOfSample",54,0,0,0.636585,0.000717,0.078189,0.005997,0.024036,0.097674,1456635.537337,557719.054435,0.013424,0.121495
"RAYUSDT",1566,"OutOfSample",13,0,0,0.318498,0.000405,0.030285,-0.005739,0.095745,0.064495,72730.252605,42606.981317,0.011056,0.091192
"ARBUSDT",2167,"OutOfSample",18,0,0,0.395408,0.000491,0.111913,0.162593,0.096377,0.305164,3989805.244433,2453169.406452,0.011876,0.302483
"SUIUSDT",2202,"OutOfSample",8,0,0,0.063176,0.000119,0.102633,-0.001785,-0.199946,0.040156,2499710.636273,1818951.713978,0.007958,0.090321
"PEPEUSDT",2210,"OutOfSample",14,0,0,0.272401,0.000372,0.118483,-0.005602,0.057812,0.069767,463724580611.63983,325529328319.4382,0.009731,0.125
"WLDUSDT",2255,"OutOfSample",21,0,0,0.21519,0.000322,0.081633,0.015873,-0.167126,0.042747,2263660.569236,1964415.326882,0.009843,0.09776
"FDUSDUSDT",2259,"OutOfSample",19,0,0,0.000501,0.000001,0.027624,0.0001,0.175265,0.000501,1279103.606845,766603.912634,0.000149,0.000801
"BLURUSDT",2364,"OutOfSample",52,0,0,0.084028,0.000139,0.055879,-0.010773,0.033856,0.033121,1718030.311035,751816.212097,0.008278,0.114603
"JUPUSDT",2453,"OutOfSample",41,0,0,0.166927,0.000252,0.035564,0.045816,-0.007676,0.129406,469471.967852,415461.117204,0.013026,0.121157
"ETHFIUSDT",2540,"OutOfSample",29,0,0,0.368625,0.000495,0.066544,0.046194,0.06644,0.093341,380772.624986,353881.001075,0.011069,0.103644
"ENAUSDT",2556,"OutOfSample",10,0,0,0.86409,0.000935,0.009406,0.00134,0.071345,0.053727,17143274.406251,10505279.088306,0.019293,0.12638
"SAGAUSDT",2576,"OutOfSample",50,0,0,0.214228,0.00039,0.001193,0.005355,-0.039457,0.04576,11078483.711204,4838621.672984,0.008577,0.114509
"REZUSDT",2613,"OutOfSample",56,0,0,0.120356,0.000192,0.060339,-0.003442,-0.044734,0.041754,11535964.116749,5931259.285215,0.007913,0.080109
"POLUSDT",2733,"OutOfSample",35,0,0,0.266918,0.000369,0.153906,-0.001213,0.125099,0.115217,4259828.211292,2926104.400403,0.012947,0.214306
"THEUSDT",2801,"OutOfSample",34,0,0,0.348077,0.000483,0.019886,-0.005674,0.171044,0.085546,1276207.905664,484524.713306,0.008279,0.09607
"PENGUUSDT",2860,"OutOfSample",42,0,0,0.436492,0.000543,0.083921,-0.003424,0.059251,0.036807,68471243.406516,50666125.908602,0.01112,0.092333
"TUTUSDT",3020,"OutOfSample",55,0,0,0.877551,0.002043,0.109424,-0.040758,0.092607,0.183714,27540874.530627,26820247.971774,0.028702,0.323686
"ONDOUSDT",3044,"OutOfSample",33,0,0,-0.112792,-0.000128,0.102755,-0.003168,-0.18558,0.027105,1511565.159569,1276756.157796,0.007519,0.071529
"USD1USDT",3110,"OutOfSample",1,0,0,-0.00023,0,0.022864,-0.00001,0.049431,0.00047,8197071.423556,6809122.162634,0.000068,0.00058
"SOPHUSDT",3122,"OutOfSample",44,0,0,0.0075,0.000055,0.072034,-0.004938,-0.056034,0.084399,13060567.756075,4729602.758065,0.009433,0.119363
"SAHARAUSDT",3154,"OutOfSample",4,0,0,0.080873,0.00014,0.016911,-0.00237,-0.104757,0.063492,6201485.303988,4336587.418011,0.008849,0.073512
"WLFIUSDT",3226,"OutOfSample",24,0,0,0.047445,0.000096,0.00189,-0.010345,-0.209637,0.048951,12569953.754618,5016641.91707,0.007703,0.07931
"HOLOUSDT",3251,"OutOfSample",6,0,0,-0.040419,0.000063,0.056795,0.004702,-0.033574,0.059561,2951151.373194,1260040.935349,0.013424,0.105105
"PUMPUSDT",3256,"OutOfSample",12,0,0,1.124523,0.001125,0.03322,0.022268,0.095752,0.077951,284155295.367381,308387153.231183,0.01451,0.202048
"XPLUSDT",3289,"OutOfSample",38,0,0,0.14241,0.000243,0.105469,-0.017907,0.090607,0.079083,79490053.262502,17208720.654167,0.011274,0.100166
"UUSDT",3470,"OutOfSample",20,0,0,-0.0008,-0.000001,0.041667,0.0001,-0.068178,0.0004,948294.094154,922025.961022,0.000079,0.0005
"RLUSDUSDT",3480,"OutOfSample",2,0,0,-0.0005,-0.000001,0.016393,0.0001,0.001407,0.0004,3264757.297029,2416648.041667,0.000102,0.0007
"CHIPUSDT",3564,"OutOfSample",59,0,0,0.531336,0.000725,0.064173,0.009615,0.003526,0.107042,8574297.760689,5150612.676075,0.022106,0.166667
"AEROUSDT",3646,"OutOfSample",51,0,0,0.12619,0.000196,0.134158,-0.007762,0.181149,0.028802,219884.369682,155706.579704,0.0093,0.072694
"BNBUSDT",98,"OutOfSample",3,-0.017129862467172297,-0.00003172196753180055,0.1745,0.000225,0.041004,-0.002064,0.064273,0.018127,6276.623296,5420.480005,0.003765,0.036113
"NEARUSDT",1097,"OutOfSample",7,-0.060666223090151794,-0.002022207436338393,0.157134,0.000234,0.016377,0.030011,-0.187349,0.066881,701963.078277,546278.51707,0.008719,0.084391
"XRPUSDT",306,"Sample",6,-0.08529875666074481,-0.008529875666074481,0.297902,0.000391,0.08834,-0.003826,0.003094,0.041679,7951498.790877,5289681.226344,0.006719,0.071067
"TRUMPUSDT",2908,"OutOfSample",28,-0.15924542743538672,-0.0017693936381709635,0.70007,0.000877,0.005979,0.001652,0.207117,0.065629,1290466.347038,587051.946448,0.017787,0.283297
"NVDABUSDT",3593,"OutOfSample",40,-0.38973517562196713,-0.0005489227825661509,0.105926,0.000143,0.111821,0.003141,0.244203,0.023722,715.573168,355.166179,0.005217,0.023734
"PAXGUSDT",968,"OutOfSample",22,-0.4454246266268,-0.000627358629051831,0.099984,0.000131,0.186497,0.00318,0.051745,0.015969,172.078449,133.131185,0.002388,0.018161
"UNIUSDT",1042,"OutOfSample",9,-0.6445915026535254,-0.004297276684356836,0.215613,0.000314,0.152089,0.004994,-0.119438,0.061736,261584.52328,217402.466694,0.010427,0.258196
"GRAMUSDT",3623,"OutOfSample",46,-0.7951502031049242,-0.015903004062098484,-0.014215,0.000005,0.066784,0.005801,0.125761,0.103654,313839.396393,212519.615605,0.007097,0.102056
"XAUTUSDT",3544,"OutOfSample",16,-0.8260042193576344,-0.0010197582955032522,0.099769,0.00013,0.19227,0.003245,0.077446,0.01578,277.754978,215.749272,0.002347,0.016388
"SPCXBUSDT",3596,"OutOfSample",32,-1.058746592083142,-0.0015802187941539433,0.323161,0.000412,0.15704,0.003496,0.144422,0.028296,18147.18594,8356.742831,0.003939,0.028701
"TAOUSDT",2587,"OutOfSample",15,-1.3859942816413302,-0.0028285597584516943,0.185185,0.00026,0.041717,0.007433,0.011498,0.041575,3592.957093,3068.11939,0.008107,0.082093
"QQQBUSDT",3617,"OutOfSample",49,-1.790808112335525,-0.002984680187225875,0.044692,0.00006,0.080862,0.001901,-0.021884,0.007972,249.13289,196.634094,0.001615,0.012816
"BCHUSDT",661,"Sample",40,-2.1195238795901137,-0.002077964587833445,0.182209,0.000253,0.112053,-0.003628,0.015565,0.033115,3993.844492,1616.375328,0.006587,0.066233
"SNDKBUSDT",3594,"OutOfSample",23,-2.7366554408728145,-0.0035540979751594996,0.274816,0.000386,0.062445,0.03182,0.099083,0.088939,1977.504789,1038.168063,0.009271,0.087566
"ETCUSDT",351,"Sample",10,-2.914877561018076,-0.010051301934545091,0.094737,0.000145,0.076923,-0.008174,-0.088247,0.037344,26410.415875,12162.608024,0.006602,0.067819
"SOXLBUSDT",3632,"OutOfSample",47,-6.357173248228543,-0.010090751187664355,0.000886,0.000095,0.019023,0.008301,-0.003578,0.075151,4354.886617,2311.490241,0.010937,0.073696
