strengthDefinition,target,quintile,signalCount,reachedCount,hitRatePct,strengthMin,strengthMedian,strengthMax,timeMeanMinutes,timeMedianMinutes,timeP75Minutes,timeP80Minutes,timeP90Minutes,deadline60mHitRatePct,deadline120mHitRatePct,deadline360mHitRatePct,deadline720mHitRatePct,deadline1440mHitRatePct,deadline2160mHitRatePct,deadline2880mHitRatePct
accelerationExcess,4pct,2,23151,7637,32.98777590600838,-0.00012693513337335034,-0.00011817371811897467,-0.00010726307115860754,1286.539609794422,1198,1937,2122,2473,0.23325126344434366,0.9761997321929939,4.7039004794609305,10.159388363353635,19.42464688350395,26.672713921644853,32.98777590600838
accelerationExcess,1pct,3,23150,18115,78.25053995680345,-0.0001072600847164384,-0.00009327328997156815,-0.00007391438191486627,537.5903947005244,259,697,921.2000000000007,1588.6000000000004,14.000000000000002,23.706263498920084,45.81857451403888,59.3218142548596,69.33477321814256,74.84665226781857,78.25053995680345
accelerationExcess,2pct,3,23150,14139,61.0755939524838,-0.0001072600847164384,-0.00009327328997156815,-0.00007391438191486627,884.3097107291887,593,1391,1631,2172,2.8034557235421165,6.859611231101511,21.533477321814253,34.038876889848815,46.59611231101512,54.74298056155508,61.0755939524838
accelerationExcess,4pct,3,23150,9234,39.88768898488121,-0.0001072600847164384,-0.00009327328997156815,-0.00007391438191486627,1173.4923110244747,1017,1787,1972.4000000000005,2436.7000000000007,0.38876889848812096,1.4038876889848813,7.019438444924406,14.794816414686826,26.00863930885529,33.50755939524838,39.88768898488121
accelerationExcess,1pct,4,23151,19113,82.55798885577296,-0.00007391331661401288,-0.00004703581475391574,-0.000005363494175274008,413.89729503479305,165,470,610,1262,21.813312599887695,34.59893741091097,57.58714526370351,68.76160856982419,75.77642434452075,79.57755604509525,82.55798885577296
accelerationExcess,2pct,4,23151,15486,66.89127899442788,-0.00007391331661401288,-0.00004703581475391574,-0.000005363494175274008,751.3485083301047,454,1113,1354,2027,4.738456222193426,10.669085568657941,28.724461146386766,42.83616258476955,54.73629648827264,61.44011057837674,66.89127899442788
accelerationExcess,4pct,4,23151,10711,46.26582005096972,-0.00007391331661401288,-0.00004703581475391574,-0.000005363494175274008,1088.8847913360098,881,1656,1874,2317,0.7256705973824025,2.302276359552503,9.645371690207766,19.247548701999914,31.90358947777634,40.00259168070494,46.26582005096972
accelerationExcess,1pct,5,23150,20418,88.19870410367172,-0.0000053544203657525185,0.00007930616264781091,0.011184074106581548,283.38588500342837,78,272,373,783.2999999999993,39.295896328293736,51.84881209503239,70.06479481641469,78.69978401727862,83.67602591792657,86.12958963282938,88.19870410367172
accelerationExcess,2pct,5,23150,17353,74.95896328293736,-0.0000053544203657525185,0.00007930616264781091,0.011184074106581548,554.3079006511842,277,711,902,1607.800000000001,13.261339092872571,22.38876889848812,42.406047516198704,56.53131749460043,66.36717062634989,70.96328293736501,74.95896328293736
accelerationExcess,4pct,5,23150,12988,56.103671706263505,-0.0000053544203657525185,0.00007930616264781091,0.011184074106581548,880.6919464120726,661,1315,1509.6000000000004,2125,2.539956803455724,5.956803455723542,17.511879049676025,30.21598272138229,43.78401727861771,50.95032397408207,56.103671706263505
