symbol,datasetGroup,apiPosition,historicalBinanceArrayPosition,profitClass,netProfit,grossProfit,fees,returnPct,signals,accepted,buys,sells,winningPositions,losingPositions,flatPositions,winRate,priceMin,priceMax,priceTick,lotMin,lotMax,lotStep,marketLotMin,marketLotMax,marketLotStep,percentBidUp,percentBidDown,percentAskUp,percentAskDown,percentAvgPriceMins,minNotional,maxNotional,baseAssetPrecision,quotePrecision,quoteAssetPrecision,structuralFingerprint,cohortCatalogueCount,cohortStrategyCount,cohortPositiveRate,cohortFlatRate,cohortNegativeRate,cohortTotalNetProfit,cohortMeanNetProfit,cohortMedianNetProfit,cohortPositiveNetProfit,cohortNegativeNetProfit
CRVUSDT,Sample,939,939,positive,0.17980000000000174,0.2000000000000015,0.020200000000000003,0.017980000000000173,14,1,1,3,1,0,0,1,0.0001,10000,0.0001,0.1,922327,0.1,0,261695.69916666,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=10000|priceTick=0.0001|lotMin=0.1|lotMax=922327|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,3,1,1,0,0,0.17980000000000174,0.17980000000000174,0.17980000000000174,0.17980000000000174,0
QTUMUSDT,Sample,279,279,positive,0.17980000000000085,0.20000000000000062,0.020200000000000003,0.017980000000000086,96,1,1,3,1,0,0,1,0.001,10000,0.001,0.1,90000,0.1,0,8393.29708333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.1|lotMax=90000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,8,1,1,0,0,0.17980000000000085,0.17980000000000085,0.17980000000000085,0.17980000000000085,0
STXUSDT,Sample,639,639,positive,0.17980000000000085,0.20000000000000062,0.020200000000000003,0.017980000000000086,7,1,1,3,1,0,0,1,0.0001,1000,0.0001,0.1,900000,0.1,0,195570.34375,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=900000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,20,5,0.2,0.8,0,0.17980000000000085,0.03596000000000017,0,0.17980000000000085,0
METUSDT,OutOfSample,3391,3391,positive,0.17979999999999996,0.19999999999999973,0.020200000000000003,0.017979999999999996,5,1,1,3,1,0,0,1,0.0001,1000,0.0001,0.1,92141578,0.1,0,126904.29375,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=92141578|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,87,7,0.14285714285714285,0.8571428571428571,0,0.17979999999999996,0.02568571428571428,0,0.17979999999999996,0
AVAXUSDT,OutOfSample,1052,1052,positive,0.1227367528367156,0.34307983266938447,0.22034307983266938,0.00111578866215196,2049,11,11,25,7,4,0,0.6363636363636364,0.001,10000,0.001,0.01,90000,0.01,0,37791.25608333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,35,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,5.120980852199235,-0.6445915026535254
APTUSDT,OutOfSample,2108,2108,positive,0.05521301482701779,0.07528830313014767,0.02007528830313015,0.005521301482701779,86,1,1,3,1,0,0,1,0.001,1000,0.001,0.01,92141578,0.01,0,297994.16591666,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=1000|priceTick=0.001|lotMin=0.01|lotMax=92141578|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,37,5,0.8,0,0.2,1.7066986117857603,0.34133972235715204,0.05521301482701779,2.5018488148906846,-0.7951502031049242
ASTERUSDT,OutOfSample,3327,3327,positive,0.026019923857868,0.04606598984771537,0.020046065989847716,0.0026019923857868,125,1,1,3,1,0,0,1,0.001,1000,0.001,0.01,92141578,0.01,0,382518.37504166,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=1000|priceTick=0.001|lotMin=0.01|lotMax=92141578|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,37,5,0.8,0,0.2,1.7066986117857603,0.34133972235715204,0.05521301482701779,2.5018488148906846,-0.7951502031049242
ADAUSDT,Sample,296,296,flat,0,0,0,0,1,0,0,0,0,0,0,0,0.0001,1000,0.0001,0.1,900000,0.1,0,1801748.79708333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=900000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,20,5,0.2,0.8,0,0.17980000000000085,0.03596000000000017,0,0.17980000000000085,0
IOTAUSDT,Sample,333,333,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,1000,0.0001,1,900000,1,0,1370446.05833333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=1|lotMax=900000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,10,4,0,1,0,0,0,0,0,0
XLMUSDT,Sample,334,334,flat,0,0,0,0,1,0,0,0,0,0,0,0,0.0001,1000,0.0001,1,9000000,1,0,1392055.09583333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=1|lotMax=9000000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,5,1,0,1,0,0,0,0,0,0
TRXUSDT,Sample,350,350,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,1000,0.0001,0.1,9000000,0.1,0,3924330.53291666,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=9000000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,7,2,0,1,0,0,0,0,0,0
USDCUSDT,OutOfSample,422,422,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.2,0.00001,1,10000000,1,0,18723315.74166666,0,1.1,0.9,1.1,0.9,5,5,9000000,8,8,8,priceMin=0.8|priceMax=1.2|priceTick=0.00001|lotMin=1|lotMax=10000000|lotStep=1|bidUp=1.1|bidDown=0.9|askUp=1.1|askDown=0.9|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,5,2,0,1,0,0,0,0,0,0
ZILUSDT,Sample,467,467,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,1000,0.000001,0.1,9000000,0.1,0,2403508.95333333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.000001|priceMax=1000|priceTick=0.000001|lotMin=0.1|lotMax=9000000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,6,2,0,1,0,0,0,0,0,0
ZRXUSDT,Sample,469,469,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,1000,0.0001,1,900000,1,0,128459.26666666,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=1|lotMax=900000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,10,4,0,1,0,0,0,0,0,0
FETUSDT,OutOfSample,472,472,flat,0,0,0,0,2,0,0,0,0,0,0,0,0.0001,1000,0.0001,0.1,9000000,0.1,0,984601.575,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=9000000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,7,2,0,1,0,0,0,0,0,0
IOSTUSDT,OutOfSample,481,481,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,1000,0.000001,1,9000000,1,0,29592260.1125,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.000001|priceMax=1000|priceTick=0.000001|lotMin=1|lotMax=9000000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,0,1,0,0,0,0,0,0
CELRUSDT,Sample,484,484,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,10000,0.000001,0.1,9222449,0.1,0,355191.22083333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.000001|priceMax=10000|priceTick=0.000001|lotMin=0.1|lotMax=9222449|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,0,1,0,0,0,0,0,0
THETAUSDT,Sample,494,494,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,10000,0.0001,0.1,90000,0.1,0,113506.04083333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.0001|priceMax=10000|priceTick=0.0001|lotMin=0.1|lotMax=90000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,5,3,0,1,0,0,0,0,0,0
ENJUSDT,Sample,495,495,flat,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,1000,0.00001,0.1,900000,0.1,0,501274.00458333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.00001|priceMax=1000|priceTick=0.00001|lotMin=0.1|lotMax=900000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,7,2,0,1,0,0,0,0,0,0
