symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,candleCount,coveragePct,totalReturn,meanHourlyReturn,medianHourlyReturn,hourlyVolatility,positiveHourRate,negativeHourRate,maxHourlyGain,maxHourlyLoss,maxPositiveRun,maxNegativeRun,reversalRate,autocorrelation1h,meanVolume,volumeVolatility,volumeReturnCorrelation,volumeRangeCorrelation,return6h,return12h,return24h,return72h,return168h,volatility6h,volatility12h,volatility24h,volatility72h,volatility168h,range24h,efficiency24h,trendSlope24h,range72h,efficiency72h,trendSlope72h,range168h,efficiency168h,trendSlope168h
"DOGEUSDT",558,"Sample",24,0,0,744,100,0.18475618,0.00025424,0.0001429,0.00720449,0.51009421,0.46971736,0.04968517,-0.06790499,7,6,0.55477528,-0.01324577,24935397.43951613,37654367.52306085,-0.08962725,0.93908759,-0.00576023,0.00241984,0.00975015,-0.02803848,-0.08056819,0.00200008,0.00418464,0.00440876,0.00475166,0.00651006,0.03106419,0.12232416,0.0006255,0.06679972,0.11955978,-0.00046126,0.1343104,0.11040146,-0.00042332
"DUSKUSDT",563,"Sample",25,0,0,744,100,0.17565217,0.00028479,0,0.01156582,0.45087483,0.47510094,0.05811138,-0.08854782,6,7,0.55086072,-0.08233422,325854.18951613,433302.5528047,0.0073578,0.75900564,-0.02028986,-0.01886792,0.04806202,-0.01457726,-0.10106383,0.00401325,0.01011248,0.01094771,0.01087369,0.01101981,0.08018154,0.23664122,0.00154509,0.0995671,0.02631579,0.0001112,0.21989529,0.07916667,-0.00068862
"ANKRUSDT",569,"Sample",26,0,0,744,100,0.15044248,0.0002082,0,0.00625006,0.38088829,0.35935397,0.02985075,-0.0430622,8,4,0.62352941,-0.21614667,2131330.22983871,10566590.38412751,-0.03828305,0.87908786,-0.00510204,-0.01515152,-0.00763359,-0.02255639,-0.025,0.00318518,0.00394746,0.00547954,0.00569583,0.00656814,0.03274559,0.07317073,-0.00073486,0.05707196,0.07563025,-0.00029934,0.07881773,0.0310559,-0.00016019
"WINUSDT",577,"Sample",27,0,0,744,100,0.14295926,0.00020788,0.00035236,0.00745311,0.53566622,0.42126514,0.04554201,-0.06319018,10,8,0.51029412,-0.12952604,256652747.49865592,488519935.04198575,-0.33319475,0.81397685,0.0149159,0.02995169,0.04135461,-0.03587579,-0.06953739,0.003228,0.00348031,0.00670733,0.01102391,0.00900651,0.06739346,0.32816537,0.00230333,0.12997587,0.0879527,-0.00121458,0.14921466,0.08154214,-0.0005995
"MTLUSDT",588,"Sample",28,0,0,744,100,0.12796209,0.00018721,0,0.0070916,0.3243607,0.30148048,0.0483871,-0.04435484,7,4,0.65506329,-0.14146194,22656.11545699,125089.68955066,0.02569771,0.9447605,0.00421941,-0.01244813,0.02145923,0.03030303,0.02145923,0.0028945,0.00455088,0.00674534,0.00588745,0.00690661,0.04680851,0.18518519,-0.00029602,0.06493506,0.09859155,0.00051826,0.33617021,0.02645503,0.00023818
"CVCUSDT",604,"Sample",29,0,0,744,100,0.04361702,0.00008001,0,0.00671414,0.45625841,0.48855989,0.03814262,-0.04157783,8,7,0.52416918,-0.08045957,316247.82123656,913536.28188005,0.04296033,0.72127668,-0.00406091,-0.0085902,0.02347418,-0.01998002,-0.00658228,0.00365283,0.00511875,0.0068519,0.00624526,0.00671625,0.04467532,0.18367347,0.00066516,0.08001988,0.05830904,-0.00051314,0.10698142,0.0078172,0.00007345
"CHZUSDT",609,"Sample",30,0,0,744,100,0.02631579,0.00006046,0,0.00713569,0.46837147,0.46567968,0.03023599,-0.05253043,8,6,0.54237288,-0.03118343,3819333.63172043,4325434.88915094,-0.1330351,0.75248659,-0.00225734,-0.005997,0.00226757,-0.03070175,-0.07916667,0.00280421,0.00524182,0.00533627,0.0057987,0.00708623,0.02684564,0.02362205,-0.00045748,0.07434402,0.10294118,-0.00059066,0.11934156,0.09178744,-0.00040296
"BANDUSDT",612,"Sample",31,0,0,744,100,0.18618421,0.0002828,0,0.01026099,0.47510094,0.48855989,0.07058824,-0.0979021,9,9,0.57452967,-0.20678792,55947.12647849,219233.19117717,0.1427464,0.80868936,-0.00496689,-0.0445151,0.04521739,0.02385009,-0.01582969,0.00296401,0.01295011,0.01302752,0.019982,0.01437344,0.097254,0.1969697,0.00071908,0.29816514,0.02608696,0.0003755,0.28509719,0.01106448,0.00008787
"XTZUSDT",621,"Sample",32,0,0,744,100,0.05610725,0.00009581,0,0.00667361,0.49125168,0.46971736,0.02757432,-0.05621536,9,8,0.54239766,-0.07129348,79938.21048387,164977.29814246,-0.06231475,0.88192072,-0.00234522,-0.00607477,0.00757935,-0.0362483,-0.0756193,0.00254904,0.00469645,0.00499664,0.00556381,0.00696102,0.02346316,0.0754717,-0.00001387,0.07811081,0.11904762,-0.00059518,0.12376024,0.0885947,-0.00049938
"RVNUSDT",623,"Sample",33,0,0,744,100,-0.1890411,-0.00018848,0,0.01366477,0.35800808,0.4064603,0.20512821,-0.17094017,7,6,0.55803571,-0.15435244,7351413.18884408,21902271.59677385,-0.18554871,0.91558025,-0.003367,-0.003367,0.01718213,-0.03896104,-0.1030303,0.0045157,0.00399035,0.006507,0.00534294,0.00713301,0.0779661,0.15151515,-0.00017391,0.09032258,0.13953488,-0.00042042,0.1641791,0.12230216,-0.00076841
"HBARUSDT",627,"Sample",34,0,0,744,100,0.06278868,0.0001034,0,0.00651597,0.48317631,0.49798116,0.04036742,-0.08097119,6,6,0.50280112,-0.1418291,3789034.125,6259921.52573502,-0.21841861,0.85622214,0.00149619,-0.00754819,0.00245065,-0.03233014,-0.0712664,0.00337834,0.0057585,0.00514764,0.00433861,0.00580432,0.02097429,0.02571429,-0.00015773,0.04395023,0.1457346,-0.00036839,0.14068914,0.10315866,-0.00050699
