symbol,datasetGroup,marketNetProfit,signalCount,positiveSignals,flatSignals,negativeSignals,averageNormalisedAcceleration,medianNormalisedAcceleration,averageSlopeStrength,medianSlopeStrength,averageAccelerationExcess,medianAccelerationExcess,averageSlopeExcess,medianSlopeExcess,averageCombinedStrength,medianCombinedStrength,averageAccelerationToSlopeRatio,medianAccelerationToSlopeRatio,target1PctHitRatePct,target1PctMedianTimeMinutes,target2PctHitRatePct,target2PctMedianTimeMinutes,target4PctHitRatePct,target4PctMedianTimeMinutes
LINKUSDT,Sample,1.6724414212861214,3041,3041,0,0,0.00008942279133550113,0.00006001132511835364,0.0000950403430205945,0.00006760394253341243,-0.00005044461317259568,-0.00007985607938974329,-0.000047544773034054226,-0.00007498117352123627,0.0001844631343560959,0.00014557665412359878,1.7491133851025118,0.9206269301452618,86.2216376192042,192.5,70.37158829332456,563,48.93127260769484,1235.5
ONGUSDT,Sample,1.2586000000000033,63,63,0,0,0.003526272094049691,0.001941695066049694,0.0035319805067990182,0.0022257135365681834,0.003386404689541594,0.001801827661541597,0.0033893953907443686,0.0020831284205135346,0.007058252600848709,0.0048402639105854075,1.4313751660500276,0.9840258278657908,93.65079365079364,2,92.06349206349206,5,84.12698412698413,7
MSTRBUSDT,OutOfSample,1.2046467261945655,4199,4199,0,0,0.00007480382707372776,0.00004541295352378017,0.00008613038627047737,0.00004778602938715342,-0.00006506357743436876,-0.00009445445098431676,-0.00005645472978417104,-0.00009479908666749527,0.00016093421334420523,0.00011069005460137122,3.2559243736516144,0.9297167171886406,86.23481781376519,257,70.63586568230531,709,47.03500833531793,1106
ZENUSDT,Sample,1.0768324804883163,2736,2736,0,0,0.0001744393350548706,0.00011464760298066491,0.00016835149063659487,0.00011808045141411459,0.00003457193054677397,-0.000025219801527432015,0.0000257663745819459,-0.000024504664640534098,0.0003427908256914658,0.0002764728592165781,1.8854544763264316,0.9792752609231175,90.60672514619883,77,81.94444444444444,231,63.85233918128655,559
CRCLBUSDT,OutOfSample,0.9445948222780676,4352,4352,0,0,0.00007851725294458212,0.000047447742212268365,0.00008467044259897214,0.000048997726408691884,-0.00006135015156351467,-0.00009241966229582856,-0.00005791467345567619,-0.00009358738964595681,0.00016318769554355422,0.00011582199609160703,3.0220227944125093,0.9552692352747888,82.67463235294117,222,68.52022058823529,776.5,54.64154411764706,1162
ATOMUSDT,Sample,0.928753739074089,449,449,0,0,0.00018461496905281013,0.0001403107472733838,0.00019076101865565247,0.0001436686262314327,0.000044747564544713234,4.43342765286866e-7,0.000048175902601003886,0.000001083510176784014,0.00037537598770846304,0.00032365258843417623,1.1989454794774546,0.9764709400098744,87.30512249443207,67.5,70.8240534521158,346,47.216035634743875,712.5
ZROUSDT,OutOfSample,0.3595999999999995,656,656,0,0,0.00032097346000975257,0.00024894988610780534,0.0002859982766384728,0.0002342394364782129,0.00018110605550165554,0.00010908248159970842,0.00014341316058382397,0.00009165432042356423,0.0006069717366482254,0.0005403433687889635,1.385655499221113,1.0257358381097639,93.59756097560977,48,84.7560975609756,178.5,63.5670731707317,511
NEOUSDT,Sample,0.2854040668351565,745,745,0,0,0.00015745499926565683,0.00012200230329978362,0.00015947166462726038,0.00012813268202992547,0.000017587594757559713,-0.000017865101208313302,0.00001688654857261167,-0.000014452434024723229,0.0003169266638929174,0.0002637513831361165,1.24180602080776,0.9376265031156533,84.29530201342283,122,73.8255033557047,517,53.95973154362416,1266.5
CRVUSDT,Sample,0.17980000000000174,14,14,0,0,0.0006254148523299095,0.0005231753954681715,0.0006137975867700885,0.0005670484497150606,0.00048554744782181253,0.0003833079909600746,0.0004712124707154398,0.00042446333366041183,0.001239212439099998,0.001085185342772231,1.0454218677474412,0.9173962658783759,100,19.5,78.57142857142857,14,57.14285714285714,22.5
QTUMUSDT,Sample,0.17980000000000085,96,96,0,0,0.0003985736475781879,0.00030436321922130917,0.0003530999021909384,0.0003132701297402086,0.0002587062430700912,0.00016449581471321228,0.0002105147861362897,0.00017068501368555988,0.0007516735497691264,0.0007014189644504001,1.364337933360008,1.0751864605176604,94.79166666666666,51,79.16666666666666,225.5,63.541666666666664,432
STXUSDT,Sample,0.17980000000000085,7,7,0,0,0.0007901580961315993,0.0007621900970390611,0.0008404170279513734,0.0007630106785925386,0.0006502906916235025,0.0006223226925309641,0.0006978319118967248,0.0006204255625378898,0.0016305751240829728,0.0016026811871048161,0.9860642143051115,0.9518378856150709,100,3,100,18,100,406
METUSDT,OutOfSample,0.17979999999999996,5,5,0,0,0.0007534697184695398,0.0007214411819585579,0.0007815933288079826,0.0007248822216805304,0.0006136023139614429,0.0005815737774504609,0.0006390082127533338,0.0005822971056258817,0.0015350630472775223,0.0013996262782235431,0.9744259132076237,0.9811696931656458,60,9,60,30,60,98
AVAXUSDT,OutOfSample,0.1227367528367156,2049,2049,0,0,0.00008694094466387473,0.00005927862618040422,0.0000923400976266187,0.00006536054470104676,-0.000052926459844222326,-0.0000805887783276927,-0.00005024501842802996,-0.00007722457135360194,0.00017928104229049337,0.00014415335525149586,1.4916480839700004,0.8921328798509851,84.13860419716936,241,65.10492923377257,699.5,34.89507076622743,1007
APTUSDT,OutOfSample,0.05521301482701779,86,86,0,0,0.0004516405839905833,0.0003580901963485118,0.0003958204662302215,0.0003522209610892376,0.00031177317948248616,0.0002182227918404149,0.00025323535017557266,0.00020963584503458891,0.0008474610502208042,0.00071548252935898,1.17269101483981,1.0601204316860455,84.88372093023256,42,59.30232558139535,130,32.55813953488372,1019.5
ASTERUSDT,OutOfSample,0.026019923857868,125,125,0,0,0.00043639845252091305,0.0003655895582797896,0.00038943201369547633,0.00031925968572038104,0.00029653104801281616,0.0002257221537716927,0.00024684689764082756,0.00017667456966573235,0.0008258304662163893,0.0007091738776773985,1.2890219974248176,1.0834531625795139,94.39999999999999,56.5,88,157.5,61.6,440
ADAUSDT,Sample,0,1,0,1,0,0.0012293107025163137,0.0012293107025163137,0.002048651806951506,0.002048651806951506,0.001089443298008217,0.001089443298008217,0.0019060666908968572,0.0019060666908968572,0.0032779625094678196,0.0032779625094678196,0.6000583888120979,0.6000583888120979,100,9,100,10,0,
XLMUSDT,Sample,0,1,0,1,0,0.0012273661717134832,0.0012273661717134832,0.0015681744968935125,0.0015681744968935125,0.0010874987672053864,0.0010874987672053864,0.0014255893808388638,0.0014255893808388638,0.0027955406686069957,0.0027955406686069957,0.7826719374309707,0.7826719374309707,100,10,100,35,100,72
BANDUSDT,Sample,0,6,0,6,0,0.0010710225304733409,0.001014248201821338,0.0013446302073990108,0.0013653335276070974,0.0009311551259652441,0.0008743807973132409,0.0012020450913443623,0.0012227484115524487,0.002415652737872352,0.0024528605022770492,0.8717461775061331,0.7412958854588891,100,10.5,100,23.5,100,99.5
XTZUSDT,Sample,0,1,0,1,0,0.0008949561962231031,0.0008949561962231031,0.0006123720099835491,0.0006123720099835491,0.0007550887917150062,0.0007550887917150062,0.00046978689392890034,0.00046978689392890034,0.001507328206206652,0.001507328206206652,1.4614583645766983,1.4614583645766983,100,5,100,78,0,
RLCUSDT,Sample,0,8,0,8,0,0.0006316417537083008,0.0006431832718256694,0.0004876748197398786,0.00047522689770544875,0.000491774349200204,0.0005033158673175724,0.0003450897036852299,0.0003326417816508,0.0011193165734481793,0.001118218762694926,1.3161027162625354,1.3534515405744791,12.5,9,0,,0,
EURUSDT,Sample,0,4,0,4,0,0.0006942403569572579,0.0007843793557429128,0.0002932026794573397,0.00020865475991865037,0.0005543729524491609,0.0006445119512348157,0.00015061756340269098,0.00006606964386400167,0.0009874430364145974,0.0009918755165331161,3.9138163498707534,4.176136097783319,0,,0,,0,
LSKUSDT,Sample,0,15,0,15,0,0.0018356706437978525,0.0017975868936643475,0.0017380266899243908,0.001664616527218342,0.0016958032392897558,0.0016577194891562507,0.001595441573869742,0.0015220314111636932,0.0035736973337222437,0.0034169725864967916,1.0860910327552482,1.0729104260031812,60,14,60,15,53.333333333333336,535.5
SNXUSDT,Sample,0,4,0,4,0,0.000869865351752111,0.0008004958047105695,0.0007124286959912764,0.0007235486165485092,0.000729997947244014,0.0006606284002024724,0.0005698435799366277,0.0005809635004938604,0.0015822940477433873,0.0015240444212590784,1.2645476889847351,1.110968779064789,100,4,75,14,0,
牛来USDT,OutOfSample,0,8,0,8,0,0.0019387252499977637,0.0019786232532954624,0.002314061990731361,0.002355875816542087,0.0017988578454896668,0.0018387558487873658,0.0021714768746767124,0.0022132907004874386,0.004252787240729125,0.004304432354789018,0.870067336809586,0.8430060941723067,100,4,100,18.5,100,1535
SUIUSDT,OutOfSample,0,130,0,130,0,0.0004069480324977439,0.0002928159694176141,0.00037325468535219237,0.0002794902635272613,0.0002670806279896471,0.00015294856490951714,0.00023066956929754373,0.00013690514747261256,0.0007802027178499364,0.0005746640276674414,1.212029159238001,1.011300668499347,88.46153846153845,38,79.23076923076923,219,65.38461538461539,667
ENAUSDT,OutOfSample,0,13,0,13,0,0.0010416485849543881,0.0011234515587085234,0.0011572360848179002,0.0011713786314254278,0.0009017811804462912,0.0009835841542004265,0.0010146509687632514,0.001028793515370779,0.002198884669772288,0.0022241671614820135,0.9025710760101175,0.8913968450346457,92.3076923076923,9,53.84615384615385,44,53.84615384615385,100
MARSCOINUSDT,OutOfSample,0,41,0,41,0,0.0014776324431403547,0.0010945510566236077,0.0012110512473359801,0.0010792897361406371,0.0013377650386322574,0.0009546836521155108,0.0010684661312813312,0.0009367046200859884,0.002688683690476335,0.002384840862144048,1.3422387931175068,1.1146438990994836,100,6,95.1219512195122,34,46.34146341463415,94
RAYUSDT,OutOfSample,0,396,0,396,0,0.000479085763778597,0.00031316066323871107,0.000455527815124343,0.0002913651787438411,0.00033921835927050074,0.00017329325873061412,0.00031294269906969425,0.0001487800626891924,0.0009346135789029396,0.000699118382862966,1.5019013572153515,1.0131535086648207,96.71717171717171,27,91.66666666666666,145,82.32323232323232,371.5
WLDUSDT,OutOfSample,0,24,0,24,0,0.0007959662838570625,0.0004658991664382155,0.000582449746119234,0.0004747132967622829,0.0006560988793489656,0.00032603176193011856,0.0004398646300645853,0.00033212818070763424,0.0013784160299762963,0.0009260960354719814,1.6672465679443007,1.1253188934724765,87.5,33,45.83333333333333,107,37.5,138
DOTUSDT,OutOfSample,0,162,0,162,0,0.0003252195175688228,0.00024283658261674683,0.00029689398058797405,0.00025813551877333066,0.00018535211306072564,0.00010296917810864991,0.00015430886453332573,0.00011555040271868199,0.0006221134981567967,0.0005439668750510155,1.284107347316819,0.9703518040762913,84.5679012345679,46,66.0493827160494,348,50,650
ETHFIUSDT,OutOfSample,0,121,0,121,0,0.00039152415965801226,0.00035233271551894895,0.00041917526842045046,0.00038020816741539046,0.0002516567551499153,0.00021246531101085203,0.0002765901523658019,0.00023762305136074176,0.0008106994280784627,0.0007772438585092656,1.0509915840751012,0.9417571109165003,100,29,98.34710743801654,157,73.55371900826447,606
ONDOUSDT,OutOfSample,0,4,0,4,0,0.000844033894105449,0.0004268878062394085,0.0012606202586923022,0.0008498280611424155,0.0007041664895973521,0.0002870204017313116,0.0011180351426376533,0.0007072429450877668,0.002104654152797751,0.002108321978728743,0.9379637491629915,0.9629126478683772,100,31.5,100,48.5,50,706.5
FETUSDT,OutOfSample,0,2,0,2,0,0.0016947560534150159,0.0016947560534150159,0.00112860657475306,0.00112860657475306,0.001554888648906919,0.001554888648906919,0.0009860214586984112,0.0009860214586984112,0.002823362628168076,0.002823362628168076,1.4627511394836836,1.4627511394836836,100,3,100,6.5,50,78
JUPUSDT,OutOfSample,0,3,0,3,0,0.0009893677331482833,0.0010927214307081324,0.001088511312178123,0.0009820910690765629,0.0008495003286401866,0.0009528540262000355,0.0009459261961234743,0.0008395059530219141,0.0020778790453264066,0.002008045936955833,0.9767732713112925,1.205001405295304,100,50,100,68,100,245
FILUSDT,OutOfSample,0,157,0,157,0,0.00043959902194131616,0.00028516893453091574,0.00033833987754478413,0.0002820482974392101,0.00029973161743321964,0.00014530153002281882,0.0001957547614901353,0.0001394631813845614,0.0007779388994861008,0.0005982554908771379,1.4194757106743094,1.0493407194137883,87.26114649681529,146,71.3375796178344,345.5,61.146496815286625,854
AEROUSDT,OutOfSample,0,62,0,62,0,0.00043882147020144776,0.0003590152470475875,0.00042083387148106577,0.00035965590570121423,0.00029895406569335086,0.00021914784253949056,0.00027824875542641737,0.00021707078964656554,0.000859655341682514,0.0007934050202284283,1.1978839284547969,0.9797751470192242,72.58064516129032,41,54.83870967741935,148.5,20.967741935483872,74
TUTUSDT,OutOfSample,0,11,0,11,0,0.003227808639463552,0.0032277676796557265,0.003439249680794418,0.0034595045067337357,0.0030879412349554547,0.0030879002751476297,0.003296664564739769,0.003316919390679087,0.00666705832025797,0.006616362364232568,1.0190752689598825,1.0559081335460825,90.9090909090909,1,81.81818181818183,2,63.63636363636363,24
ICPUSDT,OutOfSample,0,1255,0,1255,0,0.00016031181389357407,0.00012379909445533826,0.00016495307761635607,0.00012398342773192817,0.000020444409385477103,-0.000016068310052758664,0.000022367961561707304,-0.000018601688322720524,0.0003252648915099299,0.00026860400599164797,1.3294389896493095,0.9660818453078523,88.84462151394422,97,81.43426294820716,323,60.876494023904385,843.5
BNBUSDT,OutOfSample,-0.017129862467172297,4425,0,0,4425,0.00004082373434117189,0.00002370871830718629,0.00004042392467876444,0.000023943486599308347,-0.00009904367016692524,-0.00011615868620091062,-0.00010216119137588451,-0.00011864162945534035,0.00008124765901993624,0.00005700649381809373,4.619915114819837,0.9481161548565369,64.090395480226,562,48.836158192090394,1221,25.740112994350284,1390
NEARUSDT,OutOfSample,-0.060666223090151794,1223,0,0,1223,0.00019850025986004383,0.00015308387945508548,0.00019407607686164474,0.00015786914111827073,0.000058632855351947064,0.000013216474946988561,0.0000514909608069962,0.000015284025063622034,0.00039257633672168895,0.0003352426286891853,1.3274383226035091,1.0339717488685727,94.52166802943582,98.5,87.32624693376943,240.5,70.48242027800491,669
XRPUSDT,Sample,-0.08529875666074481,359,0,0,359,0.0002785084873509489,0.00019592077701657509,0.0002488649071954659,0.00018017699355139759,0.00013864108284285178,0.000056053372508478165,0.00010627979114081683,0.00003759187749674889,0.0005273733945464138,0.00039126593412909755,1.387284922691979,1.0447841723930358,91.64345403899722,70,83.008356545961,385,64.34540389972145,549
TRUMPUSDT,OutOfSample,-0.15924542743538672,1656,0,0,1656,0.00028254769810218984,0.00017271485429264788,0.00027167186840857836,0.00017698137432863175,0.00014268029359409276,0.000032847449784550946,0.00012908675235392947,0.00003439625827398305,0.0005542195665107687,0.00037909181277661914,1.504984117229302,0.9948208496624324,91.12318840579711,53,74.33574879227052,158,55.01207729468599,342
NVDABUSDT,OutOfSample,-0.38973517562196713,3813,0,0,3813,0.00003525261325988498,0.00001693706625755665,0.000036415907105471916,0.000017621904093722467,-0.000104614791248212,-0.00012293033825054028,-0.00010616920894917686,-0.00012496321196092623,0.00007166852036535673,0.00004422069235253588,3.159048133739639,0.9344442791783554,56.91056910569105,884.5,26.435877261998424,1050.5,17.781274586939418,1603.5
PAXGUSDT,OutOfSample,-0.4454246266268,4649,0,0,4649,0.00002055854574490549,0.000011844573187252347,0.00002226664694221378,0.000013098502749769047,-0.00011930885876319129,-0.00012802283132084456,-0.00012031846911243531,-0.00012948661330487965,0.000042825192687119316,0.00003244552787522849,7.712540197109129,0.9801843626860786,39.664443966444395,986,16.777801677780168,1496.5,4.302000430200043,1828.5
UNIUSDT,OutOfSample,-0.6445915026535254,2587,0,0,2587,0.00016098400426669827,0.00011997676649979632,0.0001684739311205956,0.00011974452598202219,0.000021116599758601123,-0.000019890638008300597,0.000025888815065946932,-0.000022840590072626508,0.00032945793538729357,0.0002806343876857885,1.7186038044298781,0.9884755579702235,90.72284499420178,61,81.71627367607267,257,64.63084654039429,693.5
GRAMUSDT,OutOfSample,-0.7951502031049242,257,0,0,257,0.0002173973040660932,0.00017030776745458566,0.00022047577063620877,0.00017773660888400518,0.00007752989955799627,0.00003044036294648874,0.0000778906545815602,0.00003515149282935648,0.0004378730747023019,0.0003586151046378447,1.1681079573220063,0.9349841116482563,78.21011673151752,99,56.809338521400775,437,40.46692607003891,994.5
XAUTUSDT,OutOfSample,-0.8260042193576344,4588,0,0,4588,0.00002017072274792549,0.000011497882172368885,0.000021825249531446797,0.000012959760286987263,-0.0001196966817601715,-0.00012836952233572803,-0.00012075986652320164,-0.00012962535576766144,0.00004199597227937213,0.00003200824471030887,7.368997552482232,0.986797779498499,40.86748038360942,1057,17.10985178727114,1544,3.6835222319093286,1938
SPCXBUSDT,OutOfSample,-1.058746592083142,4167,0,0,4167,0.00005028211077692389,0.000020766343842292062,0.00004642011434932245,0.000021578861829375066,-0.00008958529373117304,-0.00011910106066580486,-0.00009616500170532635,-0.00012100625422527363,0.00009670222512624619,0.00005064634419055633,3.0257281972253893,0.9585449552454265,83.27333813294936,638,61.21910247180226,957,20.806335493160546,1118
TAOUSDT,OutOfSample,-1.3859942816413302,4075,0,0,4075,0.00009380590881991754,0.00006143286073933415,0.0000944619570737401,0.00006035902441355498,-0.00004606149568817935,-0.00007843454376876277,-0.00004812315898090861,-0.00008222609164109372,0.00018826786589365758,0.00014494569291629542,4.637690582583448,1.0388098233042267,81.96319018404908,160.5,67.65644171779141,490,47.85276073619632,835
QQQBUSDT,OutOfSample,-1.790808112335525,4199,0,0,4199,0.000016880970542172584,0.000009473874361572686,0.0000171337236076833,0.000009449041931753589,-0.00012298643396592432,-0.00013039353014652422,-0.00012545139244696547,-0.0001331360741228951,0.00003401469414985598,0.00002327590055431992,3.7503252945603793,1.0309897828238432,22.171945701357465,1107,2.857823291259824,2557,0,
BCHUSDT,Sample,-2.1195238795901137,4214,0,0,4214,0.00008095068175550828,0.00004785282297481911,0.00008163805454010918,0.00005068020840263297,-0.00005891672275258899,-0.0000920145815332778,-0.00006094706151453955,-0.00009190490765201571,0.00016258873629561722,0.00011728620175760752,3.7738969257784527,1.0104385348927587,78.92738490745134,253.5,61.79401993355482,663.5,37.2093023255814,1091
SNDKBUSDT,OutOfSample,-2.7366554408728145,4123,0,0,4123,0.00007560216472811574,0.00003555759272661099,0.000079569068942601,0.000036844686564638354,-0.00006426523977998118,-0.00010430981178148594,-0.00006301604711204749,-0.00010574042949001034,0.0001551712336707172,0.0000868219345242628,5.216684292307176,0.9534599899488067,91.09871452825612,319,77.66189667717681,577,44.45791899102595,767
ETCUSDT,Sample,-2.914877561018076,2501,0,0,2501,0.00010378984295648407,0.00007095440199354716,0.00010676396290063138,0.00007509044790148981,-0.00003607756155161278,-0.00006891300251454976,-0.0000358211531540174,-0.00006749466815315889,0.00021055380585711546,0.0001697916738749369,1.6546402529429063,0.9501621596684354,82.8468612554978,137,63.41463414634146,441.5,43.8624550179928,942
SOXLBUSDT,OutOfSample,-6.357173248228543,4048,0,0,4048,0.00011773951120281884,0.000060367275393420165,0.00012986893255162077,0.00006366151038962123,-0.000022127893305278077,-0.00007950012911467675,-0.000012716183503028414,-0.00007892360566502747,0.00024760844375443925,0.00015879888011048144,3.6435371084421324,0.9780792693452244,86.53656126482213,192,72.80138339920948,460,44.762845849802375,773.5
