symbol,binanceArrayPosition,candleCount,firstCandleTime,lastCandleTime,strategyDatasetGroup,strategyNetProfit,strategyReturnPct,totalReturnPct,hourlyReturnMeanPct,hourlyReturnMedianPct,hourlyReturnStdPct,positiveHourRatePct,negativeHourRatePct,meanHourlyRangePct,medianHourlyRangePct,hourlyRangeStdPct,maxHourlyGainPct,maxHourlyLossPct,maxPositiveRunHours,maxNegativeRunHours,reversalRatePct,returnAutocorrelation1h,meanVolume,medianVolume,volumeStd,meanQuoteVolumeProxy,medianQuoteVolumeProxy,quoteVolumeProxyStd,volumeReturnCorrelation,volumeRangeCorrelation,rolling6hReturnMeanPct,rolling6hReturnStdPct,rolling12hReturnMeanPct,rolling12hReturnStdPct,rolling24hReturnMeanPct,rolling24hReturnStdPct,rolling72hReturnMeanPct,rolling72hReturnStdPct,rolling168hReturnMeanPct,rolling168hReturnStdPct,rolling24hVolatilityPct,rolling72hVolatilityPct,rolling168hVolatilityPct,rolling24hRangeMeanPct,rolling72hRangeMeanPct,rolling168hRangeMeanPct,rolling24hEfficiencyMean,rolling72hEfficiencyMean,rolling168hEfficiencyMean,rolling24hTrendSlopeMeanPct,rolling72hTrendSlopeMeanPct,rolling168hTrendSlopeMeanPct
XTZUSDT,41,744,1785542400000,1788217200000,Sample,0,0,5.610724925521349,0.008033182539795045,0,0.6626376043550638,48.52150537634409,47.983870967741936,0.9474675740585747,0.7210977261054367,1.1834500741275278,2.801724137931025,-5.696202531645579,9,6,50.74024226110363,-0.08625771260391225,79938.21048387086,41228.75,164977.2981424602,17292.47785985214,8562.749500000002,36827.93053467536,-0.06144692201155259,0.8811089033140631,0.05468582987627344,1.5306545724479579,0.10556149120544274,2.0841690462434395,0.2320443386185109,2.890623708526531,0.9505501631495619,5.497659604991984,3.5211337247761065,8.574676631536832,0.6116706737925515,0.6418213359795415,0.6623557558305443,0.9590049535466262,0.9764431229659007,0.991982406408109,0.16913816592717137,0.09857862969831797,0.07388659487288504,0.00940288706920058,0.013707481359363175,0.021460853933557077
RVNUSDT,42,744,1785542400000,1788217200000,Sample,0,0,-18.904109589041095,-0.006959356847077784,0,1.3460912535818168,35.752688172043015,38.575268817204304,1.3596972846437063,1.0033444816053538,1.955626289945919,20.072992700729934,-16.857142857142865,7,6,30.955585464333783,-0.14518538947790935,7351413.188844082,2671126,21902271.59677385,22302.932467696228,8568.261163,65593.85127619308,-0.1941401683079978,0.9035065126698394,-0.12371716048482906,2.793652839617236,-0.2427821746395353,3.9231598626342,-0.4489933437240199,5.736019019736528,-1.2211409337404022,11.055789085244005,-2.1274409291381264,16.768873016853703,0.9554393523355914,1.1485340405671751,1.3620465678856912,1.3702452762416064,1.4063405187017688,1.4965613070803196,0.21177164859828299,0.14385850434908548,0.12322635442612898,-0.01881584874161561,-0.01685227663719745,-0.011998943171901633
HBARUSDT,43,744,1785542400000,1788217200000,Sample,0,0,6.278868360277157,0.011317573384939135,-0.006406970784210739,0.6512862739001307,47.983870967741936,50,0.7932142853468447,0.5926121255803712,0.7609833301987211,4.024169184290029,-8.107794168893019,6,6,48.18304172274562,-0.138157142088573,3789034.125,1814939.5,6259921.525735015,283482.35412971757,128399.6205,489217.4542510645,-0.21858823506964525,0.8555909565120056,0.05242870726463443,1.3346192454660366,0.10065068899631428,1.747657167265162,0.22374304401828862,2.5936745101459837,0.8824044727913944,5.531970432638427,3.4563831379651777,9.929993527371336,0.5248283971986155,0.56310025714733,0.6132847380599232,0.7943524187789487,0.8052102655629578,0.8220759680118553,0.19530774399661616,0.12193751874712921,0.10227443399141795,0.00905941853623467,0.01252718293552032,0.020179750433273264
KAVAUSDT,45,744,1785542400000,1788217200000,Sample,0,0,13.244873341375163,0.019667987484083688,0,0.49845358137005946,48.924731182795696,47.715053763440864,0.7372782698926142,0.5271258879679903,1.2053567096576592,2.3362445414847195,-4.623541887592777,7,6,54.643337819650064,-0.18116781385450664,579915.5944892465,269399.35,1233657.3666697196,24768.502217581972,11620.2200565,52227.507413231615,-0.06546895081809895,0.8125622203698097,0.1110399912236948,1.0024829879909363,0.21588250789972777,1.2796780321628107,0.4480800174185943,1.7963429098602333,1.431457116413718,2.9138705922100816,3.7900155384976415,4.649242965379319,0.44625058161094644,0.47371104112408974,0.4844257617423152,0.7347245260191646,0.7381435840729441,0.7395415911934549,0.1288196218913908,0.07520766758460223,0.06478997033272992,0.01843463074345324,0.01973567986322912,0.022580187055019102
ARPAUSDT,46,744,1785542400000,1788217200000,Sample,0,0,17.279411764705888,0.023697000257652926,0,0.6056642281779694,46.10215053763441,41.80107526881721,0.7661747479152822,0.5910165484633636,0.6679825606434634,3.5516093229744623,-5.15361744301288,5,6,41.184387617765815,-0.16578327863767706,1095228.831317204,588453.75,2280783.074523716,9881.078956766129,5298.910123,21267.140299253722,-0.1386796313877617,0.6418171925151085,0.13712826083081486,1.2931718386987814,0.26767122229848783,1.6505291445018804,0.5469119417042156,2.115052256250732,1.6895001124207099,3.4935646823518485,4.03249853341897,4.840813703994074,0.57718586449263,0.6027290102469073,0.63639804094857,0.7733735676225829,0.7720456183385703,0.7808719549284432,0.16085631666408423,0.09413180088519806,0.07030953499823983,0.022666789975264175,0.023519149717233772,0.02429357094168106
IOTXUSDT,47,744,1785542400000,1788217200000,Sample,0,0,29.054054054054035,0.07752188137056405,0,2.096059419752971,44.89247311827957,40.725806451612904,1.7059730267049946,1.1379495509870332,2.698222798375901,41.17647058823529,-13.178294573643413,10,6,39.300134589502015,-0.04068540794722482,9091996.168010753,2820915,37657773.896162175,27210.05683638436,7296.31244,138481.05628663074,0.4996800251285919,0.9142639714962165,0.29664931452606186,4.430101271906026,0.5668526668920874,5.837016960106773,1.19501759923701,8.16800303951786,3.3813229072825313,10.827401217074602,8.75503274833183,11.935436745518896,1.3333328412156722,1.5751849869789667,1.9139369852328727,1.7300848544024319,1.7710107519938711,1.8859584768148776,0.17579225557673833,0.09611440067340556,0.0600698797119967,0.049022594946031776,0.04671916158728319,0.05181001823777094
RLCUSDT,48,744,1785542400000,1788217200000,Sample,0,0,8.624376336421946,0.0219675635246648,0.03148822759535942,0.7806791111522815,50.134408602150536,47.8494623655914,1.0206741037779106,0.8293028953125734,0.7875315691112657,4.639940608760212,-4.922355698798706,9,8,50.87483176312247,-0.09484259045883839,29591.151344086058,17234.45,62546.32333983563,8553.410437486556,5018.878350000001,18576.99328930157,-0.027786191827724058,0.689021509571414,0.0886574215753489,1.8374976482006777,0.1969980250811169,2.5030499720999364,0.44599885639320697,3.132782565180761,1.819815905518313,4.719902884884877,4.975338509157262,6.466077234652948,0.7349542336333397,0.7734568299413999,0.8059817698989789,1.0193263737636877,1.0185848484488906,1.0242334544417382,0.1908322625380174,0.09722138630145218,0.06567191970466359,0.018791183766100006,0.02623178312893039,0.031182321894007745
EURUSDT,51,744,1785542400000,1788217200000,Sample,0,0,0.7106950944704371,0.0013383458724271302,0,0.1307019971878091,41.12903225806452,41.53225806451613,0.08070018592693563,0.05132153538939098,0.27594982400925344,1.018175698418041,-3.052614162806101,7,9,36.0699865410498,0.11851968494738774,411292.19704301126,237295,720278.3865332882,478264.4950018146,274294.47549999994,836432.688257254,-0.10508814836114096,0.28049603458233924,0.005961622389568595,0.2742324158855244,0.01156477566886515,0.35308663133549,0.020984013103301145,0.429800210658044,0.049913057179629954,0.5495572618218739,0.21199422496532977,0.8462325845364589,0.059892812499513184,0.08007726743862607,0.1061279582254725,0.08202766122423998,0.08463673432102094,0.08810033861303775,0.25128933877052767,0.15616662355991826,0.10305139553218944,0.0008747538214325216,0.0006171035184012042,0.0012142872018206894
OGNUSDT,52,744,1785542400000,1788217200000,Sample,0,0,22.503328894806927,0.03940253120999497,0,0.7358648558025782,49.193548387096776,47.043010752688176,1.055069142532268,0.757577754059557,1.1551545522286617,4.256631708821714,-4.954034729315621,7,5,50.47106325706595,-0.07474391778127096,1586836.564516129,682078.5,4836504.790038519,26829.382039139793,11118.41575,80869.0143510829,0.11570479188684094,0.8421750565967351,0.1749963966870509,1.6204547506190803,0.33796872771118647,2.125944218798964,0.648572567558023,2.7639628728711596,2.1955229975724238,4.452393317700047,5.2879700410625965,6.110716497850105,0.6616823367438143,0.6940116303991983,0.7197007278272175,1.0530543943880855,1.0472308609298857,1.0428889373645318,0.17158074276837582,0.09327280756393977,0.07072450703567892,0.02671187526485827,0.030766696769916804,0.03215540929452527
LSKUSDT,53,744,1785542400000,1788217200000,Sample,0,0,38.79781420765027,0.07835595634167944,0.10515816850076379,1.5164669906229187,50.806451612903224,41.53225806451613,1.4885992759869267,0.9597523219814235,2.1870876707717777,18.395061728395056,-18.76267748478701,6,7,43.741588156123825,-0.016743117159558358,185356.0771505376,57170.55,628601.0016173404,16519.45372670699,4703.135955,59834.49003672177,0.12935373447463056,0.905676449541733,0.31253594747661045,2.9922757298192852,0.6063356311328937,3.506030732885523,1.2464295383957986,4.29559323682009,3.890520302574606,5.002919681262772,9.270945882153704,7.4066082232452315,1.072289528388868,1.2484742679099492,1.4627996359043482,1.509884226849514,1.5480334041499397,1.5610516854501846,0.18256678663941253,0.09857850221232949,0.07795633662328338,0.050914222351351505,0.05424411766155511,0.05600858001800696
MBLUSDT,55,744,1785542400000,1788217200000,Sample,0,0,-1.0574018126888296,-0.0017161886590434908,0,0.9545575851845688,39.784946236559136,43.95161290322581,1.1013645997287944,0.7704160246533065,1.5494370473279513,10.518053375196233,-7.1428571428571495,6,5,36.87752355316285,-0.16566569968920952,25200573.89650538,15667259.5,52332899.93036167,16255.415025026876,9794.174519,35537.05008021679,0.15736720600843965,0.9448496319466702,-0.00386518102108493,1.6192736731518853,-0.0235801988297634,2.1117430974306126,-0.02596789547775637,3.028492251170754,0.11010505920498369,5.7603325415226765,0.8740210116273149,8.550264995601214,0.6845454012070604,0.7894328754760874,0.9031799002507687,1.0930935195143272,1.0885009508244472,1.1077090942252121,0.17389794373499426,0.10442787843010755,0.09069753651286444,-0.0012024541552419206,0.0016890883004589134,0.005415954335245219
