symbol,datasetGroup,marketClass,marketNetProfit,marketReturnPct,strategySignals,acceptedSignals,rejectedByCapacity,acceptanceRate,candidateSignalsAnalysed,signalsPerDay,meanSlope20,medianSlope20,meanAcceleration,medianAcceleration,meanNormalisedSlope20,medianNormalisedSlope20,meanNormalisedAcceleration,medianNormalisedAcceleration,meanReturn5,meanReturn20,meanReturn50,meanVolatility20,meanVolatility50,meanEfficiency20,meanEfficiency50,meanTrendPersistence20,meanTrendPersistence50,meanReversalRate20,meanReversalRate50,meanForward5Return,meanForward15Return,meanForward30Return,meanForward60Return,meanForward120Return,meanForward360Return,meanForward720Return,meanForward1440Return,meanForward2880Return,meanMfe5,meanMfe15,meanMfe30,meanMfe60,meanMfe120,meanMfe360,meanMfe720,meanMfe1440,meanMfe2880,meanMae5,meanMae15,meanMae30,meanMae60,meanMae120,meanMae360,meanMae720,meanMae1440,meanMae2880,target1Rate,target2Rate,target4Rate,stopRate,reached1ThenFailed2Rate,reached2ThenFailed4Rate,meanTimeTo1PctMinutes,medianTimeTo1PctMinutes,meanTimeTo2PctMinutes,medianTimeTo2PctMinutes,meanTimeTo4PctMinutes,medianTimeTo4PctMinutes,meanTimeToStopMinutes,medianTimeToStopMinutes
ONGUSDT,Sample,positive,1.2586000000000033,0.017980000000000048,63,7,56,0.1111111111111111,63,2.1000486122363946,-0.0004785807374549753,-0.0002686015036283136,0.00047114545397614933,0.000291511682650625,-0.0035319805067990182,-0.0022257135365681834,0.003526272094049691,0.001941695066049694,0.0024053397299515704,-0.06704954571898102,-0.20165074263029317,0.018438741931375943,0.017936945709135215,0.2671523487392255,0.3489852556643388,0.3912698412698414,0.3828571428571428,0.4728487886382624,0.44412050534499503,0.007589151809394779,0.029355851766504605,0.0019729599927486986,0.0034817539320313754,-0.0661530174980173,-0.10593048578949889,-0.21584422033554526,-0.2096749143579046,-0.30815801207288496,0.028717943737317123,0.0630380140438509,0.08161499280097498,0.10729828565487182,0.11443856565401636,0.1690036724625917,0.18678675596828936,0.20560876003439388,0.21677778960638486,-0.024577188154965644,-0.029700324061545356,-0.050239672420734426,-0.07120779594606243,-0.14551002893874615,-0.2276774081746527,-0.28147961656436027,-0.28743789016254523,-0.3541750141404458,0.9365079365079365,0.9206349206349206,0.8412698412698413,0.9365079365079365,0.015873015873015872,0.07936507936507936,25.52542372881356,2,65.27586206896552,5,38.660377358490564,7,331.864406779661,77
ZILUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRXUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZECUSDT,Sample,positive,19.093584879365956,0.013936923269610187,4218,137,4081,0.03247984826932195,4218,140.60325470497003,-0.09665925101850147,-0.05098496211356575,0.08756356484080617,0.047963588160051994,-0.00011488511085713309,-0.00007070322452129964,0.0001052054605526155,0.00006675540386191575,0.000010534057493992294,-0.002390167867886059,-0.008638220351215344,0.001299042762837474,0.0014090710040076079,0.1491702972508999,0.16894021545651836,0.4574087245139911,0.44255097202467075,0.5337900227096933,0.506933356557415,0.00002954652592796673,0.0001544412910764387,0.00042341101187127523,0.0009743832523423708,0.002446944104712533,0.005513072869568654,0.015403307753759747,0.02981079311154065,0.07104543889965129,0.002226036687239208,0.004077418227191825,0.005909706736160003,0.008828580388464662,0.013152518361133035,0.023772358716872485,0.04104387113328033,0.06595486313008142,0.11860341971193344,-0.0022902737417100217,-0.00410501813273894,-0.005849225861100084,-0.008253458569514859,-0.010769596950224645,-0.017006261703461853,-0.02197190986448234,-0.02829215854576831,-0.034419506069529274,0.9523470839260313,0.8354670459933617,0.7053105737316263,0.05476529160739687,0.11688003793266952,0.1301564722617354,347.866069205875,121,644.5817253121453,391.5,991.7821848739496,743,1347.082251082251,1227
CELRUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASHUSDT,Sample,positive,2.744131462295859,0.00397700211926936,3985,69,3916,0.017314930991217063,3985,132.83640825019097,-0.007212052651587048,-0.00339097743916292,0.0071068385021226844,0.003378404129857641,-0.00014952131562061285,-0.00008254467008697088,0.00014901419334083062,0.00008116153310752695,-0.00010289462959121779,-0.003369899538699402,-0.01170679660302091,0.0015042852429671522,0.0016817229537608924,0.16969473573394112,0.19490405991756238,0.3786951066499396,0.3651191969887164,0.3923793171762532,0.37510050444267895,0.00009881349755019052,0.000589475232125606,0.000767032906868893,0.0011303274393878117,0.003057722698269502,0.006014192982751308,0.011986109418504757,0.024896158536268177,0.05054355394155516,0.0024507766212441265,0.004674951204088442,0.006857039274592902,0.010079513561509046,0.015371622050368695,0.02929928224976522,0.04589624994522742,0.07468216256270946,0.12493942869774927,-0.0025080578641246986,-0.004387041204597777,-0.006398936804941976,-0.00959795262421685,-0.012854375946422462,-0.02049056735267161,-0.026937922173210154,-0.03481148928467894,-0.04660473750787286,0.8840652446675031,0.7673776662484316,0.609284818067754,0.13450439146800502,0.11668757841907151,0.15809284818067754,353.44791370990635,90,599.0791366906475,246.5,859.0210049423393,625,1583.438432835821,1692
THETAUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENJUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATOMUSDT,Sample,positive,0.928753739074089,0.011609421738426112,449,8,441,0.017817371937639197,449,14.967013125303827,-0.0003135455380326341,-0.00023157891702733043,0.0003024179081104243,0.00022961524659519922,-0.00019076101865565247,-0.0001436686262314327,0.00018461496905281013,0.0001403107472733838,0.0001231706123495106,-0.004036385293743756,-0.014453669546975136,0.001441753967573677,0.00152089640972863,0.20970991372415868,0.2842438026066942,0.31213808463251685,0.29478841870823985,0.286132926972218,0.27594200263624413,-0.000045057172629336626,0.0007212022901472744,0.0018285454442621741,0.0038241019839283736,0.005267112481098272,0.005181772072890601,0.0087542645146866,0.01352503322283796,0.01547558387678383,0.002032549253093127,0.00391233927820734,0.0061141697520081285,0.00939330084185798,0.013680626644798412,0.022017974685763286,0.03131702838596526,0.05068358053853498,0.06803298119916754,-0.002196655134438481,-0.00392161716766756,-0.005153823651561401,-0.006678135641524295,-0.008871537916597678,-0.01492765936355132,-0.02027011937528078,-0.025804282980783418,-0.0314160432819818,0.8730512249443207,0.7082405345211581,0.47216035634743875,0.017817371937639197,0.16481069042316257,0.23608017817371937,254.1045918367347,67.5,552.7421383647799,346,808.8679245283018,712.5,1552,1548.5
TFUELUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
